Category,Message,text_length,clean_text
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",289,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,know mallika sherawat yesterday find lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",160,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss
ham,"Sorry, I'll call later in meeting.",34,sorry ill call later meeting
ham,Tell where you reached,22,tell reached
ham,Yes..gauti and sehwag out of odi series.,40,yesgauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,gonna pick burger way home cant even move pain killing
ham,Ha ha ha good joke. Girls are situation seekers.,48,ha ha ha good joke girls situation seekers
ham,Its a part of checking IQ,25,part checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",56,sorry roommates took forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,valued customer pleased advise following recent review mob awarded £ bonus prize call
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",122,today song dedicated day song u dedicate send ur valuable frnds first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,urgent ur awarded complimentary trip eurodisinc trav acoentry £ claim txt dis £morefrmmob shracomorsglsuplt ls aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",78,hear new divorce barbie comes kens stuff
ham,I plane to give on this month end.,34,plane give month end
ham,Wah lucky man... Then can save money... Hee...,46,wah lucky man save money hee
ham,Finished class where are you.,29,finished class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,hi babe im home wanna something xx
ham,K..k:)where are you?how did you performed?,42,kkwhere youhow performed
ham,U can call me now...,20,u call
ham,I am waiting machan. Call me once you free.,43,waiting machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,thats cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,50,like peoples much shy pa
ham,Does not operate after  &lt;#&gt;  or what,42,operate ltgt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,still looking job much tas earn
ham,"Sorry, I'll call later",22,sorry ill call later
ham,K. Did you call me just now ah?,31,k call ah
ham,Ok i am on the way to home hi hi,32,ok way home hi hi
ham,You will be in the place of that man,36,place man
ham,Yup next stop.,14,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",55,call later dont network urgnt sms
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,real u getting yo need tickets one jacket im done already used multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,yes started send requests make pain came back im back bed double coins factory gotta cash nitros
ham,I'm really not up to it still tonight babe,42,im really still tonight babe
ham,"Ela kano.,il download, come wen ur free..",41,ela kanoil download come wen ur free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,58,yeah don‘t stand close tho you‘ll catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,194,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,137,please call customer service representative ampm guaranteed £ cash £ prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,havent planning buy later check already lido got show e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",158,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
ham,Watching telugu movie..wat abt u?,33,watching telugu moviewat abt u
ham,i see. When we finish we have loads of loans to pay,51,see finish loads loans pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",178,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u
ham,I see a cup of coffee animation,31,see cup coffee animation
ham,Please don't text me anymore. I have nothing else to say.,57,please dont text anymore nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,okay name ur price long legal wen pick u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,im still looking car buy gone driving test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
ham,Umma my life and vava umma love you lot dear,44,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,thanks lot wishes birthday thanks making birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",43,aight ill hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,82,would ip address test considering computer isnt minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,know grumpy old people mom like better lying always one play jokes
ham,Dont worry. I guess he's busy.,30,dont worry guess hes busy
ham,What is the plural of the noun research?,40,plural noun research
ham,Going for dinner.msg you after.,31,going dinnermsg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,im ok wif cos like try new things scared u dun like mah cos u said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,158,gent trying contact last weekends draw shows £ prize guaranteed call claim code k valid hrs ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),151,winner u specially selected receive £ holiday flights inc speak live operator claim pmin
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,71,goodo yes must speak friday eggpotato ratio tortilla needed
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,hmmmy uncle informed hes paying school directly pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,private account statement shows unredeemed bonus points claim call identifier code expires
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",156,urgent mobile awarded £ bonus caller prize final try contact u call landline boxwrc ppm
ham,here is my new address -apples&pairs&all that malarky,53,new address applespairsall malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,todays voda numbers ending selected receive award match please call quoting claim code standard rates app
ham,I am going to sao mu today. Will be done only at 12,51,going sao mu today done
ham,Ü predict wat time ü'll finish buying?,38,ü predict wat time üll finish buying
ham,"Good stuff, will do.",20,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
ham,Are you there in room.,22,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,K..k:)how much does it cost?,28,kkhow much cost
ham,I'm home.,9,im home
ham,"Dear, will call Tmorrow.pls accomodate.",39,dear call tmorrowpls accomodate
ham,First answer my question.,25,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,125,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr £ sptyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt eca pmsgp
ham,I only haf msn. It's yijue@hotmail.com,38,haf msn yijuehotmailcom
ham,He is there. You call and meet him,34,call meet
ham,No no. I will check all rooms befor activities,46,check rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,youll rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,85,got c lazy type forgot ü lect saw pouch like v nice
ham,"K, text me when you're on the way",33,k text youre way
ham,"Sir, Waiting for your mail.",27,sir waiting mail
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",156,swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni
ham,I know you are. Can you pls open the back?,42,know pls open back
ham,Yes see ya not on the dot,25,yes see ya dot
ham,Whats the staff name who is taking class for us?,48,whats staff name taking class us
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,ummmawill call check inour life begin qatar pls pray hard
ham,K..i deleted my contact that why?,33,ki deleted contact
ham,Sindu got job in birla soft ..,30,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,45,wine flowing im nevering
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,yup thk cine better cos need go plaza mah
ham,Ok... Ur typical reply...,25,ok ur typical reply
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one
ham,Aaooooright are you at work?,28,aaooooright work
ham,I'm leaving my house now...,27,im leaving house
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,hello love get interview today happy good boy think meare missing
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,customer service annoncement new years delivery waiting please call arrange delivery
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,145,winner u specially selected receive £ cash holiday flights inc speak live operator claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,keep safe need miss already envy everyone sees real life
ham,New car and house for my parents.:)i have only new job in hand:),64,new car house parentsi new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,im love im excited day spend make happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,pls stop bootydelious f inviting friend reply yes see wwwsmsacubootydelious stop send stop frnd
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internetservice menu
ham,I place all ur points on e cultures module already.,51,place ur points e cultures module already
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,156,urgent trying contact last weekends draw shows £ prize guaranteed call claim code valid hrs
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,hi frnd best way avoid missunderstding wit beloved ones
ham,Great escape. I fancy the bridge but needs her lager. See you tomo,66,great escape fancy bridge needs lager see tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,59,yes completely formclark also utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",50,sir need axis bank account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",93,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
ham,What time you coming down later?,32,time coming later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",104,bloody hell cant believe forgot surname mr ill give u clue spanish begins
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,well im gonna finish bath goodfine night
ham,Let me know when you've got the money so carlos can make the call,65,let know youve got money carlos make call
ham,U still going to the mall?,26,u still going mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,66,text doesnt reply let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,hi spoke maneesha v wed like know satisfied experience reply toll free yes
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend
ham,Lol no. U can trust me.,23,lol u trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,65,ok gentleman treat dignity respect
ham,"He will, you guys close?",24,guys close
ham,Going on nothing great.bye,26,going nothing greatbye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
ham,"Haha awesome, be there in a minute",34,haha awesome minute
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,147,please call customer service representative freephone ampm guaranteed £ cash £ prize
ham,Have you got Xmas radio times. If not i will get it now,55,got xmas radio times get
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,jus reached home go bathe first sis using net tell u finishes k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72,unique enough find th august wwwareyouuniquecouk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,im sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week
ham,Hi :)finally i completed the course:),37,hi finally completed course
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111,stop however suggest stays someone able give ors every stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,hope youve settled new school year wishin gr day
ham,Gud mrng dear hav a nice day,28,gud mrng dear hav nice day
ham,Did u got that persons story,28,u got persons story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,63,hamster dead hey tmr meet pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,131,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",40,found enc ltgt
ham,I sent you  &lt;#&gt;  bucks,28,sent ltgt bucks
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,84,hello darlin ive finished college txt u finish u love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,174,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt
ham,Goodmorning sleeping ga.,24,goodmorning sleeping ga
ham,U call me alter at 11 ok.,25,u call alter ok
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,63,ü say like dat dun buy ericsson oso cannot oredi lar
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
ham,"Aight yo, dats straight dogg",28,aight yo dats straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,86,please give us connection today ltdecimalgt refund bill
ham,Both :) i shoot big loads so get ready!,39,shoot big loads get ready
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",73,whats bruv hope great break rewarding semester
ham,Home so we can always chat,26,home always chat
ham,K:)k:)good:)study well.,23,kkgoodstudy well
ham,Yup... How ü noe leh...,23,yup ü noe leh
ham,Sounds great! Are you home now?,31,sounds great home
ham,Finally the match heading towards draw as your prediction.,58,finally match heading towards draw prediction
ham,Tired. I haven't slept well the past few nights.,48,tired havent slept well past nights
ham,Easy ah?sen got selected means its good..,41,easy ahsen got selected means good
ham,I have to take exam with march 3,32,take exam march
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,159,yeah think use gt atm register sure theres anyway help let know sure ready
ham,Ok no prob. Take ur time.,25,ok prob take ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,161,os called ubandu run without installing hard diskyou use os copy important files system give repair shop
ham,"Sorry, I'll call later",22,sorry ill call later
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,119,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",142,new mobiles must go txt nokia collect todayfrom £ wwwtcbiz optout gbpmtmsg
ham,Would really appreciate if you call me. Just need someone to talk to.,69,would really appreciate call need someone talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",137,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
ham,Hey company elama po mudyadhu.,30,hey company elama po mudyadhu
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",165,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
ham,Dear good morning now only i am up,34,dear good morning
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,109,get gandhipuram walk cross cut road right side ltgt street road turn first right
ham,Dear we are going to our rubber place,37,dear going rubber place
ham,"Sorry battery died, yeah I'm here",33,sorry battery died yeah im
ham,Yes:)here tv is always available in work place..,48,yeshere tv always available work place
